
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0003                          U5                                53   1      1   1   1 1           1 0 XSIG040075          (134-15-13)
40-0003                          U5                                53   1      2   2   1 6           6 0 XSIG040077          (134-17-13)
40-0003                          U5                                53   1      3   3   1 5           5 0                     (0-0-0)
40-0003                          U5                                53   1      4   4   1 8           8 0 GND                 (20-1-13)
40-0003                          U5                                53   1      5   5   1 7           7 0 XSIG040066          (134-13-13)
40-0003                          U5                                53   1      6   6   1 2           2 0 VCC15V_p04          (134-12-13)
40-0003                          U5                                53   1      7   7   1 3           3 0 XSIG040073          (134-14-13)
40-0003                          U5                                53   2      1   1   2 4           4 0 GND                 (20-1-13)
40-0003                          U8                                54   1      1   1   1 1           1 0 XSIG040092          (134-21-13)
40-0003                          U8                                54   1      2   2   1 6           6 0 XSIG040098          (134-22-13)
40-0003                          U8                                54   1      3   3   1 5           5 0                     (0-0-0)
40-0003                          U8                                54   1      4   4   1 8           8 0 GND                 (20-1-13)
40-0003                          U8                                54   1      5   5   1 7           7 0 XSIG040085          (134-19-13)
40-0003                          U8                                54   1      6   6   1 2           2 0 VCC15V_p04          (134-12-13)
40-0003                          U8                                54   1      7   7   1 3           3 0 XSIG040090          (134-20-13)
40-0003                          U8                                54   2      1   1   2 4           4 0 GND                 (20-1-13)
40-0153                          U4                                45   1      1   1   1 11         11 0 VCC-15V             (134-7-13)
40-0153                          U4                                45   1      2   2   1 3           3 0 XSIG030279          (134-4-13)
40-0153                          U4                                45   1      3   3   1 2           2 0 XSIG030281          (134-5-13)
40-0153                          U4                                45   1      4   4   1 1           1 0 GALVA_DRIVERX_IN-   (20-68-13)
40-0153                          U4                                45   1      5   5   1 4           4 0 VCC15V              (134-8-13)
40-0153                          U4                                47   1      1   1   2 11         11 0 VCC-15V             (134-7-13)
40-0153                          U4                                47   1      2   2   2 5           5 0 XSIG030297          (134-9-13)
40-0153                          U4                                47   1      3   3   2 6           6 0 XSIG030299          (134-10-13)
40-0153                          U4                                47   1      4   4   2 7           7 0 GALVA_DRIVERX_IN-   (20-68-13)
40-0153                          U4                                47   1      5   5   2 4           4 0 VCC15V              (134-8-13)
40-0153                          U4                                48   1      1   1   3 11         11 0 VCC-15V             (134-7-13)
40-0153                          U4                                48   1      2   2   3 10         10 0 GND                 (20-1-13)
40-0153                          U4                                48   1      3   3   3 9           9 0 XSIG030303          (134-11-13)
40-0153                          U4                                48   1      4   4   3 8           8 0 GALVA_DRIVERX_IN+   (20-63-13)
40-0153                          U4                                48   1      5   5   3 4           4 0 VCC15V              (134-8-13)
40-0153                          U4                                46   1      1   1   4 11         11 0 VCC-15V             (134-7-13)
40-0153                          U4                                46   1      2   2   4 12         12 0 GND                 (20-1-13)
40-0153                          U4                                46   1      3   3   4 13         13 0 XSIG030284          (134-6-13)
40-0153                          U4                                46   1      4   4   4 14         14 0 GALVA_DRIVERX_IN+   (20-63-13)
40-0153                          U4                                46   1      5   5   4 4           4 0 VCC15V              (134-8-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0293                          U1                                 2   1      1   1   1 94         94 0 XSIG011235          (93-4-13)
40-0293                          U1                                 2   1      2   2   1 36         36 0 XSIG011236          (93-5-13)
40-0293                          U1                                 2   1      3   3   1 90         90 0 SPI_F72MAX_MISO     (20-11-13)
40-0293                          U1                                 2   1      4   4   1 76         76 0 F7SWCLK             (20-3-13)
40-0293                          U1                                 2   1      5   5   1 77         77 0 SPI_F72MAX_NSS      (20-17-13)
40-0293                          U1                                 2   1      6   6   1 89         89 0 SPI_F72MAX_SCK      (20-10-13)
40-0293                          U1                                 2   1      7   7   1 72         72 0 F7SWDAT             (20-4-13)
40-0293                          U1                                 2   1      8   8   1 22         22 0                     (0-0-0)
40-0293                          U1                                 2   1      9   9   1 23         23 0 RMII_REF_CLK        (20-22-13)
40-0293                          U1                                 2   1     10  10   1 24         24 0 ETH_MDIO            (20-27-13)
40-0293                          U1                                 2   1     11  11   1 25         25 0                     (0-0-0)
40-0293                          U1                                 2   1     12  12   1 28         28 0 GALVA_X             (20-18-13)
40-0293                          U1                                 2   1     13  13   1 29         29 0 GALVA_Y             (20-19-13)
40-0293                          U1                                 2   1     14  14   1 30         30 0                     (0-0-0)
40-0293                          U1                                 2   1     15  15   1 31         31 0 RMII_CRS_DV         (20-23-13)
40-0293                          U1                                 2   1     16  16   1 67         67 0                     (0-0-0)
40-0293                          U1                                 2   1     17  17   1 68         68 0                     (0-0-0)
40-0293                          U1                                 2   1     18  18   1 69         69 0                     (0-0-0)
40-0293                          U1                                 2   1     19  19   1 70         70 0 SPI_F72F1_NSS       (20-20-13)
