
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
01-0385                          R36                               47   1      2   1   1 2           2 0 XSIG030317          (274-1-13)
01-0385                          R37                               46   1      1   1   1 1           1 0 XSIG030317          (274-1-13)
01-0385                          R37                               46   1      2   1   1 2           2 0 GND                 (20-1-13)
01-0393                          R14                              117   1      1   1   1 1           1 0 GND                 (20-1-13)
01-0393                          R14                              117   1      2   1   1 2           2 0 XSIG020156          (330-7-13)
01-0398                          R49                               39   1      1   1   1 1           1 0 XSIG030332          (378-1-13)
01-0398                          R49                               39   1      2   1   1 2           2 0 XSIG030333          (378-2-13)
01-0398                          R50                               40   1      1   1   1 1           1 0 XSIG030338          (378-3-13)
01-0398                          R50                               40   1      2   1   1 2           2 0 XSIG030339          (378-4-13)
01-0398                          R51                               41   1      1   1   1 1           1 0 XSIG030344          (378-5-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
01-0398                          R51                               41   1      2   1   1 2           2 0 XSIG030345          (378-6-13)
10-0006                          C23                              112   1      1   1   1 1           1 0 VDDA_ETH            (330-14-13)
10-0006                          C23                              112   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0011                          C8                               108   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0011                          C8                               108   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0011                          C9                               107   1      1   1   1 1           1 0 VDDA_ETH            (330-14-13)
10-0011                          C9                               107   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0011                          C10                              109   1      1   1   1 1           1 0 VDDA_ETH            (330-14-13)
10-0011                          C10                              109   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0026                          C34                              114   1      1   1   1 1           1 0 XSIG020181          (330-12-13)
10-0026                          C34                              114   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0026                          C35                              115   1      1   1   1 1           1 0 XSIG020183          (330-13-13)
10-0026                          C35                              115   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0030                          C1                                 5   1      1   1   1 1           1 0 XSIG011191          (20-32-13)
10-0030                          C1                                 5   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0030                          C2                                 6   1      1   1   1 1           1 0 XSIG011193          (20-33-13)
10-0030                          C2                                 6   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0038                          C26                               28   1      1   1   1 1           1 0 VCC-12V             (362-4-13)
10-0038                          C26                               28   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0038                          C28                               29   1      1   1   1 1           1 0 VCC12V              (362-3-13)
10-0038                          C28                               29   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0046                          C33                              102   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0046                          C33                              102   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C7                                83   1      1   1   1 1           1 0 XSIG020178          (330-11-13)
10-0057                          C7                                83   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C11                               90   1      1   1   1 1           1 0 GND                 (20-1-13)
10-0057                          C11                               90   1      2   1   1 2           2 0 VCC                 (20-2-13)
10-0057                          C12                               89   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C12                               89   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C13                               85   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C13                               85   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C14                               84   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C14                               84   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C15                               87   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C15                               87   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C16                               86   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C16                               86   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C17                               82   1      1   1   1 1           1 0 XSIG011257          (340-1-13)
10-0057                          C17                               82   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0057                          C18                               88   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0057                          C18                               88   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0060                          C20                               92   1      1   1   1 1           1 0 XSIG011257          (340-1-13)
10-0060                          C20                               92   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0060                          C21                               93   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0060                          C21                               93   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0068                          C22                              110   1      1   1   1 1           1 0 VDDA_ETH            (330-14-13)
10-0068                          C22                              110   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0070                          C27                               96   1      1   1   1 1           1 0 XSIG040092          (134-21-13)
10-0070                          C27                               96   1      2   1   1 2           2 0 XSIG040090          (134-20-13)
10-0075                          C19                               91   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0075                          C19                               91   1      2   1   1 2           2 0 GND                 (20-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0095                          C24                               24   1      1   1   1 1           1 0 XSIG040065          (340-2-13)
10-0095                          C24                               24   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0105                          C25                               95   1      1   1   1 1           1 0 XSIG040085          (134-19-13)
10-0105                          C25                               95   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0112                          C3                                77   1      1   1   1 1           1 0 XSIG011226          (93-3-13)
10-0112                          C3                                77   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0112                          C4                                78   1      1   1   1 1           1 0 XSIG011225          (93-2-13)
10-0112                          C4                                78   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0112                          C6                                79   1      1   1   1 1           1 0 XSIG020178          (330-11-13)
10-0112                          C6                                79   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0120                          C5                                97   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0120                          C5                                97   1      2   1   1 2           2 0 GND                 (20-1-13)
10-0120                          C30                               98   1      1   1   1 1           1 0 VCC                 (20-2-13)
10-0120                          C30                               98   1      2   1   1 2           2 0 GND                 (20-1-13)
20-0019                          D4                               101   1      1   1   1 2           2 0 VCC                 (20-2-13)
20-0019                          D4                               101   1      2   2   1 1           1 0 XSIG040092          (134-21-13)
20-0035                          D5                               104   1      1   1   1 2           2 0 GND                 (20-1-13)
20-0035                          D5                               104   1      2   2   1 1           1 0 XSIG040090          (134-20-13)
20-0037                          D1                                38   1      1   1   1 2           2 0 XSIG030261          (93-14-13)
20-0037                          D1                                38   1      2   2   1 1           1 0 GND                 (20-1-13)
30-0025                          Q1                                94   1      1   1   1 3           3 0 XSIG030262          (93-15-13)
30-0025                          Q1                                94   1      2   2   1 1           1 0 LASERS_MUTE         (20-60-13)
30-0025                          Q1                                94   1      3   3   1 2           2 0 VCC                 (20-2-13)
40-0003                          U8                               100   1      1   1   1 1           1 0 XSIG040092          (134-21-13)
40-0003                          U8                               100   1      2   2   1 6           6 0 XSIG040098          (134-22-13)
40-0003                          U8                               100   1      3   3   1 5           5 0                     (0-0-0)
40-0003                          U8                               100   1      4   4   1 8           8 0 GND                 (20-1-13)
40-0003                          U8                               100   1      5   5   1 7           7 0 XSIG040085          (134-19-13)
40-0003                          U8                               100   1      6   6   1 2           2 0 XSIG040065          (340-2-13)
40-0003                          U8                               100   1      7   7   1 3           3 0 XSIG040090          (134-20-13)
40-0003                          U8                               100   2      1   1   2 4           4 0 GND                 (20-1-13)
40-0153                          U4                                33   1      1   1   1 11         11 0 VCC-12V             (362-4-13)
40-0153                          U4                                33   1      2   2   1 3           3 0 XSIG030279          (134-4-13)
40-0153                          U4                                33   1      3   3   1 2           2 0 XSIG030281          (134-5-13)
40-0153                          U4                                33   1      4   4   1 1           1 0 GALVA_DRIVERX_N     (20-68-13)
40-0153                          U4                                33   1      5   5   1 4           4 0 VCC12V              (362-3-13)
40-0153                          U4                                35   1      1   1   2 11         11 0 VCC-12V             (362-4-13)
40-0153                          U4                                35   1      2   2   2 5           5 0 XSIG030297          (134-9-13)
40-0153                          U4                                35   1      3   3   2 6           6 0 XSIG030299          (134-10-13)
40-0153                          U4                                35   1      4   4   2 7           7 0 GALVA_DRIVERY_N     (289-1-13)
40-0153                          U4                                35   1      5   5   2 4           4 0 VCC12V              (362-3-13)
40-0153                          U4                                36   1      1   1   3 11         11 0 VCC-12V             (362-4-13)
40-0153                          U4                                36   1      2   2   3 10         10 0 GND                 (20-1-13)
40-0153                          U4                                36   1      3   3   3 9           9 0 XSIG030303          (134-11-13)
40-0153                          U4                                36   1      4   4   3 8           8 0 GALVA_DRIVERY_P     (289-2-13)
40-0153                          U4                                36   1      5   5   3 4           4 0 VCC12V              (362-3-13)
40-0153                          U4                                34   1      1   1   4 11         11 0 VCC-12V             (362-4-13)
40-0153                          U4                                34   1      2   2   4 12         12 0 GND                 (20-1-13)
40-0153                          U4                                34   1      3   3   4 13         13 0 XSIG030284          (134-6-13)
40-0153                          U4                                34   1      4   4   4 14         14 0 GALVA_DRIVERX_P     (20-63-13)
40-0153                          U4                                34   1      5   5   4 4           4 0 VCC12V              (362-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0153                          U10                               31   1      1   1   2 11         11 0 GND                 (20-1-13)
40-0153                          U10                               31   1      2   2   2 5           5 0 XSIG030348          (378-7-13)
40-0153                          U10                               31   1      3   3   2 6           6 0 XSIG030338          (378-3-13)
40-0153                          U10                               31   1      4   4   2 7           7 0 XSIG030339          (378-4-13)
40-0153                          U10                               31   1      5   5   2 4           4 0 VCC12V              (362-3-13)
40-0153                          U10                               32   1      1   1   3 11         11 0 GND                 (20-1-13)
40-0153                          U10                               32   1      2   2   3 10         10 0 XSIG030350          (378-8-13)
40-0153                          U10                               32   1      3   3   3 9           9 0 XSIG030344          (378-5-13)
40-0153                          U10                               32   1      4   4   3 8           8 0 XSIG030345          (378-6-13)
40-0153                          U10                               32   1      5   5   3 4           4 0 VCC12V              (362-3-13)
40-0153                          U10                               30   1      1   1   4 11         11 0 GND                 (20-1-13)
40-0153                          U10                               30   1      2   2   4 12         12 0 XSIG030352          (378-9-13)
40-0153                          U10                               30   1      3   3   4 13         13 0 XSIG030332          (378-1-13)
40-0153                          U10                               30   1      4   4   4 14         14 0 XSIG030333          (378-2-13)
40-0153                          U10                               30   1      5   5   4 4           4 0 VCC12V              (362-3-13)
